CustomerID,Recency,Frequency,Monetary,AccountBalance,Age,Gender,source,churn_prob,risk_tier
C7311159,27,1,50.0,10417.18,32.0,M,india,0.9958982718919652,High risk
C2916449,27,1,50.0,1840.09,21.7,M,india,0.995865606845093,High risk
C5822631,27,1,25.0,1409.74,22.5,M,india,0.9958076593687537,High risk
C8511384,27,1,60.0,2687.63,,M,india,0.9957910482254314,High risk
C1911373,27,1,60.0,2687.63,,M,india,0.9957910482254314,High risk
C7915170,27,1,60.0,19594.48,50.1,M,india,0.9957863607366149,High risk
C4215163,27,1,60.0,19594.48,50.1,M,india,0.9957863607366149,High risk
C3416527,27,1,32.59,19617.05,67.0,M,india,0.9957486830575493,High risk
C6824969,27,1,50.0,22757.79,36.7,M,india,0.9957250837853808,High risk
C7524945,27,1,50.0,22757.79,36.7,M,india,0.9957250837853808,High risk
C4824914,27,1,50.0,22757.79,36.7,M,india,0.9957250837853808,High risk
C8436044,27,1,15.0,7944.0,24.1,M,india,0.9957243335785165,High risk
C7726525,27,1,120.0,27082.78,74.2,M,india,0.995652684714945,High risk
C1426511,27,1,120.0,27082.78,74.2,M,india,0.995652684714945,High risk
C6131618,27,1,21368.16,293273.27,39.5,M,india,0.99469556412537,High risk
C1019765,27,1,129.0,102.43,31.8,M,india,0.9945498866462398,High risk
C4823987,27,1,374.44,861628.6,45.9,F,india,0.9942116093857593,High risk
C2222290,27,1,374.44,30456.21,48.5,M,india,0.9941660523985242,High risk
C2322250,27,1,374.55,30456.21,48.5,M,india,0.9941660523985242,High risk
C7114690,27,1,10.07,0.0,21.4,M,india,0.9939577981893583,High risk
C4527442,27,1,15.88,3643.47,22.9,F,india,0.9930722032716387,High risk
C5827491,27,1,15.88,3643.47,22.9,F,india,0.9930722032716387,High risk
C3031124,27,1,11.23,1397274.65,40.5,M,india,0.9928662945221185,High risk
C4831127,27,1,10.1,1397274.65,40.5,M,india,0.9928662945221185,High risk
C6931922,27,1,70.0,2271635.2,,M,india,0.9923447005615426,High risk
C4331943,27,1,70.0,2271635.2,,M,india,0.9923447005615426,High risk
C1731971,27,1,70.0,2271635.2,,M,india,0.9923447005615426,High risk
C8038619,27,1,70.0,172850.04,49.9,F,india,0.9919714522159713,High risk
C6316088,27,2,637.0,31852.44,27.4,M,india,0.99173418687888,High risk
C8835148,27,2,1500.0,5930.44,25.8,M,india,0.9916732012558005,High risk
C3230173,27,2,280.0,6710.55,27.0,M,india,0.991579529473232,High risk
C4956956,27,2,1040.0,25020.43,26.2,F,india,0.9914889541294442,High risk
C1129582,27,2,1250.0,20216.09,40.1,M,india,0.9914829477123853,High risk
C4734220,27,2,1859.3,46620.99,22.3,F,india,0.9914723055474866,High risk
C5310272,27,2,1498.0,127897.25,29.8,F,india,0.9914168624981933,High risk
C2340032,27,2,1211.5,26532.92,32.8,M,india,0.9914118958653633,High risk
C5555118,27,1,70.0,6860.88,30.4,F,india,0.9913801395475372,High risk
C3455126,27,1,70.0,6860.88,30.4,F,india,0.9913801395475372,High risk
C1642117,27,2,616.0,20.15,30.2,F,india,0.9913085974473549,High risk
C5625073,27,2,1512.0,134514.49,30.2,F,india,0.9912940447013024,High risk
C1826541,27,2,4002.0,17115.57,25.2,M,india,0.991291896446511,High risk
C4111580,27,2,716.0,7267.76,36.1,M,india,0.991132588391365,High risk
C3540354,27,2,589.0,21606.81,29.3,M,india,0.9911249225668677,High risk
C6637536,27,2,100.0,11353.77,24.5,M,india,0.9909734539197858,High risk
C2732571,27,1,1.0,73.36,30.3,M,india,0.9908828313110046,High risk
C4426460,27,2,556.0,702.49,23.6,M,india,0.9908292775544002,High risk
C5329252,27,2,280.61,409581.43,32.0,M,india,0.99081935875284,High risk
C8340491,27,2,897.0,44983.19,35.3,M,india,0.9904213112825163,High risk
C8840084,27,1,2999.0,87.52,24.4,F,india,0.9900470498547648,High risk
C5722467,27,1,5663.18,51.56,25.9,M,india,0.989893772948063,High risk
C7411718,27,2,150.0,7617.42,30.7,M,india,0.9898767483816922,High risk
C1211038,27,2,239.0,862.86,33.2,M,india,0.9896540920522809,High risk
C4932820,27,2,243.0,5259.86,32.9,M,india,0.9895168339895364,High risk
C1729149,27,1,1360.0,163.99,28.6,M,india,0.9894240784764138,High risk
C3422684,27,1,1.0,1409.74,22.5,M,india,0.9892397032951203,High risk
C7114924,27,1,70.0,4124368.42,42.3,M,india,0.9890215241431631,High risk
C7938320,27,2,1399.8,697.44,25.4,M,india,0.9889085569704159,High risk
C7813248,27,1,2691.43,4837.03,25.5,M,india,0.9888303821043266,High risk
C6552269,27,1,2151.96,9105.96,26.4,F,india,0.9887460206811356,High risk
C3274713,27,1,1664.0,6242.73,25.1,M,india,0.9887431560262999,High risk
C3433077,27,1,1143.0,3896.9,25.3,M,india,0.9887261982511749,High risk
C5219258,27,2,1307.2,23116.1,28.6,M,india,0.9887115844467061,High risk
C4920469,27,1,1178.0,5293.52,24.4,M,india,0.9887046400199071,High risk
C4912077,27,1,2725.0,5996.46,22.6,M,india,0.988684659443902,High risk
C2385879,27,1,4448.0,1898.78,25.4,F,india,0.9886601587649232,High risk
C7162216,27,1,1327.0,483.67,26.6,M,india,0.9886517827820893,High risk
C7935712,27,1,1190.45,,25.4,M,india,0.9886359721257153,High risk
C7537887,27,2,750.0,24506.17,29.5,M,india,0.9886107889963988,High risk
C6730076,27,1,1380.0,8539.38,28.7,F,india,0.9885700659792824,High risk
C2120281,27,1,1300.0,2900.78,28.4,F,india,0.9885146785578511,High risk
C1585378,27,1,2958.8,4991.17,33.5,M,india,0.9883990894890777,High risk
C4415031,27,1,1979.0,13723.33,28.9,F,india,0.9883657604617001,High risk
C7619857,27,1,3444.0,5330.25,31.9,M,india,0.9883314390058676,High risk
C6028291,27,1,1889.44,5571.61,33.6,M,india,0.9883085351716316,High risk
C5124724,27,1,2278.0,734.65,31.7,M,india,0.988282951529895,High risk
C5529953,27,1,1724.94,5179.81,43.6,M,india,0.9882426949377034,High risk
C3673937,27,1,3295.0,2161.57,34.6,M,india,0.9882365781443716,High risk
C6913919,27,1,1299.0,13085.99,43.0,M,india,0.9881991659322893,High risk
C3814166,27,1,1000.0,3169.17,23.2,M,india,0.9881904713474958,High risk
C1625724,27,1,500.15,140.02,33.2,F,india,0.9881447805800357,High risk
C6912816,27,1,1590.0,1990.61,40.2,M,india,0.9881447705120749,High risk
C2726834,27,1,1199.0,7333.8,29.0,F,india,0.988118129550981,High risk
C1769484,27,1,802.0,8934.41,24.9,F,india,0.9880950936084301,High risk
C3019645,27,1,5632.0,11784.91,37.4,M,india,0.9880857519991018,High risk
C6017025,27,1,934.0,4615.69,29.6,M,india,0.9880422889452549,High risk
C1426733,27,1,10416.0,1048.3,34.5,F,india,0.9880334017975287,High risk
C4617383,27,1,865.0,1049.67,26.9,F,india,0.9880008456710017,High risk
C8724832,27,1,2113.41,21149.41,27.7,M,india,0.9879954445169169,High risk
C1839685,27,1,2000.0,21927.25,28.0,M,india,0.9879954445169169,High risk
C4229723,27,1,1190.0,17475.16,27.5,F,india,0.9879727260934894,High risk
C8026927,27,1,2750.0,22428.42,23.3,M,india,0.9879723273315645,High risk
C8119653,27,1,700.0,8861.83,25.6,M,india,0.9878694837374102,High risk
C7228447,27,1,3943.0,21191.8,24.8,F,india,0.9878693714195071,High risk
C8610135,27,1,698.0,16907.44,26.2,M,india,0.9878640555791643,High risk
C3210832,27,1,1011.0,17678.78,28.1,M,india,0.9878551999698862,High risk
C1878874,27,1,804.0,15750.49,27.4,M,india,0.987845984702839,High risk
C2223311,27,1,1363.0,581.8,29.2,M,india,0.987841000194506,High risk
C6251211,27,1,150.0,22.55,23.3,M,india,0.9878294328157271,High risk
C8242777,27,1,1.0,37.78,26.5,F,india,0.9877549969118399,High risk
C5933165,27,1,3233.95,17652.9,51.3,F,india,0.9877028075535267,High risk
C5211049,27,1,1998.96,24652.24,25.5,M,india,0.9876714060770676,High risk
C2040339,27,1,3103.0,21399.81,32.0,F,india,0.9876392672231342,High risk
C3314430,27,1,690.0,21772.12,26.0,F,india,0.9876010852422408,High risk
C4319843,27,1,3000.0,8191.98,,M,india,0.9875666839432414,High risk
C2017619,27,1,1230.0,25237.8,26.3,F,india,0.9875565479902045,High risk
C4738628,27,1,482.0,410.34,23.1,M,india,0.9875560065837045,High risk
C4963884,27,1,763.0,3582.81,30.0,F,india,0.9875540496559675,High risk
C3722412,27,2,640.0,84.7,39.1,M,india,0.9875297972505941,High risk
C6873869,27,1,751.0,16230.88,31.1,M,india,0.9875267703487284,High risk
C1727080,27,1,595.0,5457.31,22.4,M,india,0.9875207656627156,High risk
C2683537,27,1,706.0,13987.15,33.7,M,india,0.9875098642827134,High risk
C7538750,27,1,1770.0,21331.24,34.4,M,india,0.9874935911964313,High risk
C3399779,27,1,350.0,1460.07,26.6,M,india,0.9874805281367462,High risk
C7439579,27,1,6000.0,17304.2,36.3,M,india,0.987469027434947,High risk
C8777882,27,1,407.0,6515.17,27.1,M,india,0.9874473846765246,High risk
C3121345,27,1,1499.0,2005.17,,F,india,0.9873901209181098,High risk
C2439629,27,1,705.0,6278.16,35.7,F,india,0.9873831885797341,High risk
C8218281,27,1,583.0,5279.7,33.5,M,india,0.987379023730871,High risk
C9054749,27,1,3184.0,28314.59,28.0,F,india,0.9873753181968529,High risk
C1457430,27,1,834.0,11218.23,52.3,M,india,0.9873604887905666,High risk
C8926047,27,1,430.0,8275.51,27.7,F,india,0.9873470058674972,High risk
C5538474,27,2,752.0,36531.92,38.5,F,india,0.9873406771124023,High risk
C1131889,27,1,17.0,35.06,28.3,M,india,0.9873208500253077,High risk
C2234062,27,1,2649.0,8930.77,59.2,M,india,0.9873077901548206,High risk
C8615422,27,1,700.0,2624.26,35.5,F,india,0.9873000221160949,High risk
C7598120,27,1,1800.0,32333.52,26.8,F,india,0.9872768753998951,High risk
C7624446,27,1,542.0,16849.39,33.3,F,india,0.9872464683255272,High risk
C4051548,27,1,220.0,1184.6,29.3,M,india,0.9872334475080399,High risk
C8534781,6,1,603.0,5555.8,37.8,M,india,0.9872231033051625,High risk
C4142468,27,1,500.0,8354.22,28.8,M,india,0.9872085202738465,High risk
C6540657,27,1,475.0,1622.03,22.4,M,india,0.9872079079460201,High risk
C3620950,27,1,282.0,5969.35,24.9,F,india,0.9871996160295987,High risk
C7436729,27,1,617.0,2567.62,35.5,F,india,0.9871916976561147,High risk
C7336988,27,1,451.86,16449.28,22.3,M,india,0.9871873719672356,High risk
C6828959,27,1,50.0,49.75,24.0,F,india,0.9871844769858726,High risk
C4426178,27,1,499.0,16387.08,33.2,F,india,0.987138470831447,High risk
C7510370,27,1,1150.0,27076.6,34.2,M,india,0.9871078464556636,High risk
C8419547,27,1,2499.0,47970.06,25.9,M,india,0.9870437290040693,High risk
C2157592,27,1,1500.0,29501.41,45.4,M,india,0.9870164603401375,High risk
C5628782,27,1,412.0,597.64,40.2,F,india,0.9870093792226227,High risk
C1315577,27,1,4795.0,5055899.51,40.0,F,india,0.9869821231374922,High risk
C7432163,27,1,490.0,838.96,35.7,F,india,0.9869673902146459,High risk
C4959972,27,1,472.0,1985.66,31.1,F,india,0.9869568229425975,High risk
C9029844,6,1,439.0,18851.95,27.1,M,india,0.9869312322120356,High risk
C2021148,27,1,201.85,2963.74,24.0,M,india,0.9869290399731899,High risk
C8517811,27,1,300.0,8092.93,33.0,F,india,0.9869285249182381,High risk
C4258475,27,1,1434.0,44519.54,26.0,M,india,0.9869231006520014,High risk
C8763889,27,1,299.0,3582.81,30.0,F,india,0.9869070881513586,High risk
C3925643,27,1,3777.0,56961.27,26.9,M,india,0.9868949710305822,High risk
C7110675,27,1,470.0,18265.2,26.1,M,india,0.9868889939682499,High risk
C8515046,27,1,1299.0,58020.46,25.9,F,india,0.986885308516949,High risk
C5518544,27,1,286.0,11287.91,30.2,M,india,0.9868784096609213,High risk
C1124988,27,1,691.37,60897.47,26.3,F,india,0.9868475338982022,High risk
C2911844,27,1,1699.0,48290.35,33.6,M,india,0.9867982849269895,High risk
C6011915,27,1,1548.0,41621.52,33.0,M,india,0.9867982849269895,High risk
C6864334,27,1,1.0,833.13,34.0,M,india,0.9867655461855339,High risk
C3964384,27,1,1.0,833.13,34.0,M,india,0.9867655461855339,High risk
C7936835,27,2,7356.0,7180.82,34.6,M,india,0.9867621655525746,High risk
C5831289,27,1,199.0,7937.45,25.2,M,india,0.986734973329032,High risk
C3618790,27,1,1499.0,36580.84,30.1,M,india,0.9867336831240572,High risk
C2438974,27,1,1000.0,26057.03,32.2,M,india,0.9866910013618105,High risk
C1532828,27,1,271.0,16489.08,34.2,F,india,0.986688393903361,High risk
C1334819,27,1,680.0,25726.43,26.4,F,india,0.9866642493396306,High risk
C7442246,27,1,953.0,16680.65,59.6,M,india,0.98664790074107,High risk
C1396119,27,1,445.0,17660.92,29.7,M,india,0.9866420075587407,High risk
C2829175,27,1,7229.0,45698.42,31.3,M,india,0.9866293372009144,High risk
C4263891,27,1,521.5,20381.37,25.5,F,india,0.9866087929361119,High risk
C3329922,27,1,1.95,2371.73,30.4,M,india,0.9865749695827515,High risk
C4929963,27,1,1.0,2371.73,30.4,M,india,0.9865749695827515,High risk
C3121864,27,1,250.0,23063.11,27.7,F,india,0.9865702867905475,High risk
C2715538,27,1,299.0,23104.48,26.2,F,india,0.9865702867905475,High risk
C2741651,27,1,795.0,28946.98,44.6,M,india,0.9865324185607016,High risk
C8256889,27,1,582.0,32804.44,26.0,F,india,0.9865065478934172,High risk
C6915030,27,1,574.0,30064.65,28.2,M,india,0.9865065478934172,High risk
C8028416,27,1,927.0,33496.12,32.7,F,india,0.9865053483741851,High risk
C1637884,27,1,550.0,31850.19,24.6,F,india,0.9864318702283972,High risk
C5816987,27,1,359.25,33029.37,26.2,F,india,0.9864064236493634,High risk
C1512036,27,1,2697.0,76620.9,30.1,F,india,0.9864027967112038,High risk
C8412018,27,1,1914.0,76620.9,30.1,F,india,0.9864027967112038,High risk
C3812761,27,1,341.0,9197.72,,M,india,0.9863281699215353,High risk
C2928364,27,1,1200.0,78095.96,33.8,M,india,0.9863225589785638,High risk
C4313434,27,1,701.0,14572.81,58.3,F,india,0.986317438238005,High risk
C1115732,27,1,455.0,22176.21,38.3,M,india,0.9863149680203742,High risk
C6825662,27,1,673.0,88604.01,28.2,F,india,0.9863093476849849,High risk
C5619050,27,1,789.6,42860.88,36.7,M,india,0.9862949641726655,High risk
C2841423,27,1,1325.0,82709.0,38.1,M,india,0.9862609692931122,High risk
C1079053,27,1,400.0,35253.91,29.4,M,india,0.9862484577772478,High risk
C5032264,27,1,300.0,22513.6,33.3,M,india,0.9862437498997405,High risk
C3439638,27,1,406.0,24170.53,22.1,M,india,0.9862423042329507,High risk
C5443520,27,1,1.0,2254.12,42.4,M,india,0.986241353396506,High risk
C3017520,27,1,1902.4,75818.92,53.4,M,india,0.9862171705847045,High risk
C5046073,27,1,294.0,21647.06,30.0,F,india,0.9861972119952398,High risk
C4536144,27,1,561.48,40935.19,28.2,F,india,0.9861936743527648,High risk
C4710649,27,1,791.71,89817.41,35.4,M,india,0.9861924862227356,High risk
C2424842,27,1,765.0,91335.87,36.9,F,india,0.9861924862227356,High risk
C1699346,27,1,400.0,29017.0,30.6,M,india,0.9861866630843756,High risk
C2022756,27,1,1008.6,18116.67,24.6,M,india,0.9861565458899948,High risk
C3836468,27,1,540.0,36923.28,24.4,M,india,0.9861476772786142,High risk
C8430281,27,1,598.0,37038.69,23.7,F,india,0.9861231817970684,High risk
C7141675,27,1,445.0,46380.94,27.1,M,india,0.9861217052038932,High risk
C6325722,27,1,260.0,39775.23,29.5,M,india,0.9861125112709932,High risk
C3417228,27,1,6594.0,26928.26,,M,india,0.9860989651454434,High risk
C6227281,27,1,690.0,73396.15,32.5,M,india,0.9860736523476161,High risk
C3614161,27,1,599.0,56509.54,31.0,F,india,0.9860303735883115,High risk
C8622248,27,1,450.0,38423.24,23.1,M,india,0.986020253207716,High risk
C4656551,27,1,14500.0,28129.25,,F,india,0.985976503099821,High risk
C6755089,27,1,247.0,46395.82,28.9,M,india,0.9859758887720195,High risk
C3697151,27,1,3140.0,96849.26,22.8,F,india,0.9859617745459675,High risk
C3253189,27,1,2061.0,71989.99,39.3,F,india,0.9859574594968296,High risk
C1037333,27,1,299.0,64505.28,26.4,M,india,0.9859440574562313,High risk
C7613248,27,1,545.0,56046.27,42.1,F,india,0.9859387711843084,High risk
C6929953,27,1,216.0,63946.36,27.9,M,india,0.985919204565966,High risk
C4934374,27,1,403.4,38974.65,51.0,F,india,0.9859061812627977,High risk
C7527377,27,1,450.0,37709.78,40.0,F,india,0.985881995769133,High risk
C3033711,27,1,440.9,62108.62,42.1,M,india,0.9858654923289601,High risk
C6227756,27,1,599.0,81819.03,25.7,M,india,0.9858642971298877,High risk
C8288131,27,1,448.0,65989.63,,,india,0.9858249300757448,High risk
C4228413,27,1,2199.0,250082.79,26.1,F,india,0.9858193271103141,High risk
C4231776,27,1,199.0,22488.47,24.4,F,india,0.9858106455023044,High risk
C6319146,27,1,140.15,11958.53,29.4,M,india,0.9857962917874488,High risk
C7775021,27,1,192.0,8667.04,31.5,M,india,0.9857938796322285,High risk
C5514650,27,1,300.0,32320.1,36.8,F,india,0.9857803416836749,High risk
C1510256,27,1,2397.0,100733.82,42.8,M,india,0.9857385057537886,High risk
C4262480,27,1,1600.0,133633.85,28.6,M,india,0.985708926857599,High risk
C4715170,27,1,1853.0,136657.31,26.6,F,india,0.985708926857599,High risk
C6442855,27,2,446.0,10654.69,21.1,M,india,0.985696785190842,High risk
C2931526,27,1,150.0,4517.16,28.4,M,india,0.9856967231705266,High risk
C1677721,27,1,167.0,15134.23,30.6,F,india,0.9856857323854508,High risk
C2017871,27,1,360.0,22051.95,,M,india,0.9856683655382452,High risk
C7334352,27,1,300.0,38974.65,51.0,F,india,0.985647812127781,High risk
C6128458,27,1,3999.0,250082.79,26.1,F,india,0.9856232950882025,High risk
C8814354,27,1,4210.0,105703.95,27.8,M,india,0.9856232950882025,High risk
C1384354,27,1,2283.62,109158.22,44.9,F,india,0.9856227765239033,High risk
C2340620,27,1,2000.0,108653.09,31.4,M,india,0.9856141545864401,High risk
C1337835,27,1,6770.0,69052.5,23.8,F,india,0.9856106467021403,High risk
C6216012,27,1,235.0,122.98,37.0,M,india,0.9856076656915279,High risk
C7318057,27,1,2800.0,212428.46,34.7,M,india,0.9855981118018715,High risk
C6299818,27,1,2699.86,111181.72,40.3,M,india,0.9855981118018715,High risk
C7428532,27,1,100.0,8792.07,25.2,F,india,0.9855828728210037,High risk
C2918674,27,1,990.0,101424.95,27.0,M,india,0.9855780540399891,High risk
C3812884,27,1,50000.0,50968.08,33.8,M,india,0.9855766085912048,High risk
C6128083,27,1,2990.0,871397.75,26.9,F,india,0.9855745091430755,High risk
C8333520,27,1,219.0,51634.42,34.4,M,india,0.9855562115342641,High risk
C7371468,27,1,480.0,86811.92,30.7,F,india,0.9855546062930173,High risk
C2135215,27,1,208.0,77679.18,28.1,F,india,0.9855540724457407,High risk
C6316218,27,1,399.0,97338.61,29.3,F,india,0.9855467051626146,High risk
C2774049,27,1,100.0,8644.87,24.3,M,india,0.9855348706518253,High risk
C7441870,27,1,1250.0,929738.69,33.2,M,india,0.9855279428301724,High risk
C2175956,27,1,3200.0,306862.46,39.8,F,india,0.9855228962192563,High risk
C2858284,27,1,380.0,81582.51,36.7,M,india,0.985513602004938,High risk
C8922934,27,1,172.52,5005.71,39.0,M,india,0.9855103921978187,High risk
C1137775,27,1,3603.0,190980.13,31.2,F,india,0.9855039418738233,High risk
C3268470,27,1,1703.0,134941.21,32.3,F,india,0.9855021805026858,High risk
C6060285,27,1,7223.82,115103.26,27.8,M,india,0.985499675264688,High risk
C8836092,27,1,1477.0,112429.99,35.5,F,india,0.9854642223529692,High risk
C2495717,27,1,1240.0,149218.55,37.3,M,india,0.9854642223529692,High risk
C3318088,27,1,125.0,2542.03,29.0,M,india,0.985457096656591,High risk
C8229626,27,1,100.0,5321.01,22.5,M,india,0.9854266116458693,High risk
C2019462,27,1,2420.0,149157.54,53.8,M,india,0.9854179212456919,High risk
C6916836,27,1,6000.0,102778.02,31.5,M,india,0.9854083155548437,High risk
C5037113,27,1,7.04,204087.01,22.8,M,india,0.9853916795732187,High risk
C5911124,27,1,1046.0,134155.39,37.2,M,india,0.9853504134837672,High risk
C4138243,27,1,200.0,26465.65,40.1,F,india,0.9853498107346447,High risk
C5675267,27,1,180.0,2341.8,21.4,F,india,0.9853470015836601,High risk
C2016455,27,1,440.0,68042.77,26.3,M,india,0.985340544309591,High risk
C2110855,27,1,190.0,21967.34,25.5,F,india,0.9853402540492335,High risk
C3381935,27,1,16247.25,259864.13,33.0,F,india,0.9853394982748744,High risk
C8417067,27,1,1000.0,159136.51,33.2,M,india,0.9853004445953555,High risk
C6382880,27,1,5545.0,207073.16,52.0,F,india,0.9852987602291478,High risk
C2694785,27,1,650.0,192987.54,28.9,M,india,0.9852965381268664,High risk
C1233477,27,1,6647.37,360306.88,30.6,M,india,0.9852899468810086,High risk
C7432725,27,1,171.36,17687.76,32.8,M,india,0.9852785805031526,High risk
C3542733,27,1,11542.0,191545.59,37.5,M,india,0.985273547949052,High risk
C5727390,27,1,8712.02,123756.95,34.6,M,india,0.985273547949052,High risk
C4531560,27,1,120.0,9004.29,35.1,M,india,0.9852609919223553,High risk
C6528683,27,1,1829.0,698645.11,42.2,F,india,0.985260804925941,High risk
C6930886,27,1,500.0,528196.39,20.2,M,india,0.9852344811295073,High risk
C6312090,27,1,350.0,11196.3,19.3,F,india,0.9851951283361293,High risk
C7113643,27,1,1.0,1591.58,27.9,F,india,0.9851876172503117,High risk
C4048419,27,1,1000.0,548790.26,41.2,M,india,0.9851865900117572,High risk
C4340041,27,1,804.3,108671.55,36.7,M,india,0.9851860202679582,High risk
C7329024,27,1,1000.0,221829.1,36.4,M,india,0.985161188259502,High risk
C5219474,27,2,2739.0,22837.44,44.7,F,india,0.985159164161955,High risk
C1234065,27,1,665.0,377984.5,39.3,M,india,0.9851566380739428,High risk
C8542784,27,1,2.0,2658.19,21.9,F,india,0.9851512812067795,High risk
C3242772,27,1,2.0,2658.19,21.9,F,india,0.9851512812067795,High risk
C6210143,27,1,506.0,103379.55,43.4,M,india,0.9851394343279773,High risk
C8788747,27,1,23946.0,215056.94,38.5,M,india,0.9850996250580415,High risk
C4554127,27,1,0.0,20786.14,30.5,M,india,0.9850971954192195,High risk
C4224753,27,2,3492.0,41146.81,27.2,M,india,0.9850770594338955,High risk
C5416326,27,1,248.0,129150.86,31.5,M,india,0.985070225313784,High risk
C8717371,27,1,2099.0,1966308.52,33.7,M,india,0.9850597566316013,High risk
C4212336,27,1,74.0,334.65,26.1,F,india,0.9850455514161717,High risk
C3238274,27,1,5914.0,797109.93,43.7,M,india,0.9850450914270119,High risk
C7516738,27,1,7050.38,591139.8,31.7,F,india,0.9850361283147684,High risk
C1911053,27,1,500.0,145631.72,41.4,M,india,0.9850189176328267,High risk
C9025035,27,1,2000.0,1129859.61,30.5,M,india,0.985009274116712,High risk
C2924778,27,1,200.0,292583.91,28.0,M,india,0.984987282778324,High risk
C4333746,27,2,2740.0,95234.51,23.5,M,india,0.9849037470012524,High risk
C8720115,27,1,1540.0,1968442.02,45.5,M,india,0.9849017117616196,High risk
